Cod;Country;Citycode;City;Population2000;PM10Concentration1999;Region;IncomeGroup
AFG;Afghanistan;40003;Herat;323741;46;South Asia;Low income
AFG;Afghanistan;40001;KABUL;2457496;46;South Asia;Low income
AFG;Afghanistan;40002;Kandahar (Quandahar);411752;51;South Asia;Low income
AFG;Afghanistan;40004;Mazar-i-Sharif;238469;60;South Asia;Low income
ALB;Albania;80001;TIRANA;263274;32;Europe & Central Asia;Upper middle income
DZA;Algeria;120001;ALGER;1574799;79;Middle East & North Africa;Upper middle income
DZA;Algeria;120004;Annaba;361222;87;Middle East & North Africa;Upper middle income
DZA;Algeria;120005;Batna;251328;83;Middle East & North Africa;Upper middle income
DZA;Algeria;120017;Béchar;135772;72;Middle East & North Africa;Upper middle income
DZA;Algeria;120015;Bejaia;152421;78;Middle East & North Africa;Upper middle income
DZA;Algeria;120010;Beskra;177169;98;Middle East & North Africa;Upper middle income
DZA;Algeria;120006;Blida;234745;50;Middle East & North Africa;Upper middle income
DZA;Algeria;120019;Bordj Bou Arreridj;133207;73;Middle East & North Africa;Upper middle income
DZA;Algeria;120003;Constantine;478985;88;Middle East & North Africa;Upper middle income
DZA;Algeria;120009;El Asnam;186302;86;Middle East & North Africa;Upper middle income
DZA;Algeria;120012;El Djelfa;159872;77;Middle East & North Africa;Upper middle income
DZA;Algeria;120029;El Eulma;108951;72;Middle East & North Africa;Upper middle income
DZA;Algeria;120030;El Wad;108610;75;Middle East & North Africa;Upper middle income
DZA;Algeria;120025;Ghardaïa;114748;68;Middle East & North Africa;Upper middle income
DZA;Algeria;120031;Ghilizane;108075;55;Middle East & North Africa;Upper middle income
DZA;Algeria;120026;Guelma;112686;80;Middle East & North Africa;Upper middle income
DZA;Algeria;120028;Jijel;109856;75;Middle East & North Africa;Upper middle income
DZA;Algeria;120027;Khenchla;109938;64;Middle East & North Africa;Upper middle income
DZA;Algeria;120021;Lemdiyya (Medea);128025;72;Middle East & North Africa;Upper middle income
DZA;Algeria;120020;Mestghanem (Mostaganem);128920;76;Middle East & North Africa;Upper middle income
DZA;Algeria;120002;Oran;717685;71;Middle East & North Africa;Upper middle income
DZA;Algeria;120024;Saïda;114894;60;Middle East & North Africa;Upper middle income
DZA;Algeria;120007;Setif;219559;77;Middle East & North Africa;Upper middle income
DZA;Algeria;120008;Sidi-bel-Abbès;186812;63;Middle East & North Africa;Upper middle income
DZA;Algeria;120014;Skikda;157872;83;Middle East & North Africa;Upper middle income
DZA;Algeria;120022;Souq Ahras;120094;69;Middle East & North Africa;Upper middle income
DZA;Algeria;120013;Tbessa;158816;72;Middle East & North Africa;Upper middle income
DZA;Algeria;120016;Tihert;150614;69;Middle East & North Africa;Upper middle income
DZA;Algeria;120011;Tlemcen;160801;50;Middle East & North Africa;Upper middle income
DZA;Algeria;120023;Touggourt;117755;92;Middle East & North Africa;Upper middle income
DZA;Algeria;120018;Wargla;134105;65;Middle East & North Africa;Upper middle income
AND;Andorra;200001;ANDORRA LA VELLA;26013;33;Europe & Central Asia;High income
AGO;Angola;240001;LUANDA;2591704;125;Sub-Saharan Africa;Lower middle income
ATG;Antigua and Barbuda;280001;ST.JOHN'S;24116;16;Latin America & Caribbean;High income
ARG;Argentina;320017;Avellaneda;396481;40;Latin America & Caribbean;Upper middle income
ARG;Argentina;320022;Bahia Blanca;291848;32;Latin America & Caribbean;Upper middle income
ARG;Argentina;320001;BUENOS AIRES;12223371;107;Latin America & Caribbean;Upper middle income
ARG;Argentina;320030;Catamarca;152189;49;Latin America & Caribbean;Upper middle income
ARG;Argentina;320031;Comodoro Rivadavia;141462;22;Latin America & Caribbean;Upper middle income
ARG;Argentina;320002;Córdoba;1370248;52;Latin America & Caribbean;Upper middle income
ARG;Argentina;320021;Corrientes;294846;36;Latin America & Caribbean;Upper middle income
ARG;Argentina;320027;Formosa;175987;28;Latin America & Caribbean;Upper middle income
ARG;Argentina;320013;General San Martin;466126;44;Latin America & Caribbean;Upper middle income
ARG;Argentina;320003;La Matanza;1271745;42;Latin America & Caribbean;Upper middle income
ARG;Argentina;320007;La Plata;732458;36;Latin America & Caribbean;Upper middle income
ARG;Argentina;320012;Lanus;533898;42;Latin America & Caribbean;Upper middle income
ARG;Argentina;320009;Lomas de Zamora;655162;39;Latin America & Caribbean;Upper middle income
ARG;Argentina;320010;Mar del Plata;594467;28;Latin America & Caribbean;Upper middle income
ARG;Argentina;320005;Mendoza;884836;15;Latin America & Caribbean;Upper middle income
ARG;Argentina;320006;Moron;733827;51;Latin America & Caribbean;Upper middle income
ARG;Argentina;320026;Neuquén;191112;44;Latin America & Caribbean;Upper middle income
ARG;Argentina;320023;Paraná;242457;35;Latin America & Caribbean;Upper middle income
ARG;Argentina;320024;Posadas;241692;26;Latin America & Caribbean;Upper middle income
ARG;Argentina;320011;Quilmes;582729;34;Latin America & Caribbean;Upper middle income
ARG;Argentina;320019;Resistencia;332955;42;Latin America & Caribbean;Upper middle income
ARG;Argentina;320029;Rio Cuarto;158991;32;Latin America & Caribbean;Upper middle income
ARG;Argentina;320004;Rosario;1253552;39;Latin America & Caribbean;Upper middle income
ARG;Argentina;320015;Salta;422486;69;Latin America & Caribbean;Upper middle income
ARG;Argentina;320028;San Fernando;161850;41;Latin America & Caribbean;Upper middle income
ARG;Argentina;320018;San Isidro;342036;41;Latin America & Caribbean;Upper middle income
ARG;Argentina;320016;San Juan;404530;54;Latin America & Caribbean;Upper middle income
ARG;Argentina;320008;San Miguel de Tucumán;711873;63;Latin America & Caribbean;Upper middle income
ARG;Argentina;320032;San Nicolas;131259;37;Latin America & Caribbean;Upper middle income
ARG;Argentina;320025;San Salvador de Jujuy;208939;53;Latin America & Caribbean;Upper middle income
ARG;Argentina;320014;Santa Fé;451693;38;Latin America & Caribbean;Upper middle income
ARG;Argentina;320020;Vicente Lopez;330735;40;Latin America & Caribbean;Upper middle income
ARM;Armenia;510003;Kirovakan;175068;56;Europe & Central Asia;Upper middle income
ARM;Armenia;510002;Leninakan;212509;69;Europe & Central Asia;Upper middle income
ARM;Armenia;510001;YEREVAN;1290278;91;Europe & Central Asia;Upper middle income
AUS;Australia;360005;Adelaide;1115076;16;East Asia & Pacific;High income
AUS;Australia;360003;Brisbane;1453239;19;East Asia & Pacific;High income
AUS;Australia;360008;CANBERRA;305127;25;East Asia & Pacific;High income
AUS;Australia;360009;Central Coast;214745;19;East Asia & Pacific;High income
AUS;Australia;360012;Geelong;158313;11;East Asia & Pacific;High income
AUS;Australia;360011;Gold Coast;171965;16;East Asia & Pacific;High income
AUS;Australia;360006;Greater Wollongong;801740;22;East Asia & Pacific;High income
AUS;Australia;360010;Hobart;198082;22;East Asia & Pacific;High income
AUS;Australia;360002;Melbourne;3292556;14;East Asia & Pacific;High income
AUS;Australia;360007;Newcastle;466059;17;East Asia & Pacific;High income
AUS;Australia;360004;Perth;1245422;14;East Asia & Pacific;High income
AUS;Australia;360013;Sunshine Coast;142316;15;East Asia & Pacific;High income
AUS;Australia;360001;Sydney;3855009;22;East Asia & Pacific;High income
AUS;Australia;360014;Townsville;95089;27;East Asia & Pacific;High income
AUT;Austria;400003;Graz;285597;29;Europe & Central Asia;High income
AUT;Austria;400005;Innsbruck;143860;15;Europe & Central Asia;High income
AUT;Austria;400002;Linz;296713;21;Europe & Central Asia;High income
AUT;Austria;400004;Salzburg;171672;17;Europe & Central Asia;High income
AUT;Austria;400001;WIEN;1903934;39;Europe & Central Asia;High income
AZE;Azerbaijan;310001;BAKU;1292647;108;Europe & Central Asia;Upper middle income
AZE;Azerbaijan;310002;Giyandja;316130;76;Europe & Central Asia;Upper middle income
AZE;Azerbaijan;310003;Sumgait;264380;86;Europe & Central Asia;Upper middle income
BHS;Bahamas;440001;NASSAU;214141;43;Latin America & Caribbean;High income
BHR;Bahrain;480001;MANAMA;170511;70;Middle East & North Africa;High income
BGD;Bangladesh;500008;Barisal;226308;77;South Asia;Lower middle income
BGD;Bangladesh;500002;Chittagong;1888193;120;South Asia;Lower middle income
BGD;Bangladesh;500011;Comilla;198346;137;South Asia;Lower middle income
BGD;Bangladesh;500001;DHAKA;4702752;174;South Asia;Lower middle income
BGD;Bangladesh;500012;Dinajpur;174684;86;South Asia;Lower middle income
BGD;Bangladesh;500017;Jamalpur;140150;154;South Asia;Lower middle income
BGD;Bangladesh;500009;Jessore;221763;160;South Asia;Lower middle income
BGD;Bangladesh;500003;Khulna;755623;151;South Asia;Lower middle income
BGD;Bangladesh;500007;Mymensingh;256813;106;South Asia;Lower middle income
BGD;Bangladesh;500018;Naogaon;139530;158;South Asia;Lower middle income
BGD;Bangladesh;500005;Narayanganj;372312;156;South Asia;Lower middle income
BGD;Bangladesh;500013;Nawabganj;167785;93;South Asia;Lower middle income
BGD;Bangladesh;500014;Pabna;144631;155;South Asia;Lower middle income
BGD;Bangladesh;500004;Rajshahi;414837;111;South Asia;Lower middle income
BGD;Bangladesh;500006;Rangpur;282303;86;South Asia;Lower middle income
BGD;Bangladesh;500016;Saidpur;141241;75;South Asia;Lower middle income
BGD;Bangladesh;500015;Tangail;144504;149;South Asia;Lower middle income
BGD;Bangladesh;500010;Tongi;213426;166;South Asia;Lower middle income
BRB;Barbados;520001;BRIDGETOWN;9927;41;Latin America & Caribbean;High income
BLR;Belarus;1120008;Baranovichi;177955;7;Europe & Central Asia;Upper middle income
BLR;Belarus;1120007;Bobruisk;235236;8;Europe & Central Asia;Upper middle income
BLR;Belarus;1120009;Borisov;158999;7;Europe & Central Asia;Upper middle income
BLR;Belarus;1120006;Brest;301011;8;Europe & Central Asia;Upper middle income
BLR;Belarus;1120002;Gomel;533347;9;Europe & Central Asia;Upper middle income
BLR;Belarus;1120005;Grodno;309091;7;Europe & Central Asia;Upper middle income
BLR;Belarus;1120001;MINSK;1747854;9;Europe & Central Asia;Upper middle income
BLR;Belarus;1120004;Mogilev;377662;8;Europe & Central Asia;Upper middle income
BLR;Belarus;1120012;Mozir;110730;7;Europe & Central Asia;Upper middle income
BLR;Belarus;1120010;Orsha;143980;7;Europe & Central Asia;Upper middle income
BLR;Belarus;1120011;Pinsk;133725;6;Europe & Central Asia;Upper middle income
BLR;Belarus;1120013;Solegorsk;104101;6;Europe & Central Asia;Upper middle income
BLR;Belarus;1120003;Vitebsk;384085;8;Europe & Central Asia;Upper middle income
BEL;Belgium;560002;Antwerpen (Anvers);686616;29;Europe & Central Asia;High income
BEL;Belgium;560008;Brugge;119896;24;Europe & Central Asia;High income
BEL;Belgium;560001;BRUXELLES (BRUSSEL);983257;31;Europe & Central Asia;High income
BEL;Belgium;560004;Charleroi;303125;28;Europe & Central Asia;High income
BEL;Belgium;560007;Genk/Hasselt;130964;26;Europe & Central Asia;High income
BEL;Belgium;560005;Gent (Gand);257603;26;Europe & Central Asia;High income
BEL;Belgium;560010;Kortrijk;117536;25;Europe & Central Asia;High income
BEL;Belgium;560009;La Louvière;118942;27;Europe & Central Asia;High income
BEL;Belgium;560003;Liège (Luik);497928;28;Europe & Central Asia;High income
BEL;Belgium;560006;Mons;180141;24;Europe & Central Asia;High income
BEL;Belgium;560011;Namur;106417;25;Europe & Central Asia;High income
BLZ;Belize;840001;BELMOPAN;59893;23;Latin America & Caribbean;Upper middle income
BEN;Benin;2040001;Cotonou;746336;32;Sub-Saharan Africa;Low income
BEN;Benin;2040003;Djougou;186434;81;Sub-Saharan Africa;Low income
BEN;Benin;2040004;Parakou;144000;91;Sub-Saharan Africa;Low income
BEN;Benin;2040002;PORTO-NOVO;249051;40;Sub-Saharan Africa;Low income
BTN;Bhutan;640001;THIMPHU;44046;41;South Asia;Lower middle income
BOL;Bolivia;680003;Cochabamba;552514;121;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680004;El Alto;549354;136;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680001;LA PAZ;966473;141;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680005;Oruro;248497;102;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680007;Potosí;151842;91;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680002;Santa Cruz;944661;53;Latin America & Caribbean;Lower middle income
BOL;Bolivia;680006;SUCRE;178519;74;Latin America & Caribbean;Lower middle income
BIH;Bosnia and Herzegovina;700002;Banja Luka;197410;37;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700007;Doboj;103366;30;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700005;Mostar;127952;28;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700006;Prijedor;113449;30;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700001;SARAJEVO;532844;27;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700004;Tuzla;132819;39;Europe & Central Asia;Upper middle income
BIH;Bosnia and Herzegovina;700003;Zenica;146891;27;Europe & Central Asia;Upper middle income
BRA;Brazil;760170;Alagoinhas;110115;11;Latin America & Caribbean;Upper middle income
BRA;Brazil;760116;Alvorada;172102;28;Latin America & Caribbean;Upper middle income
BRA;Brazil;760109;Americana;178379;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760068;Anápolis;260112;58;Latin America & Caribbean;Upper middle income
BRA;Brazil;760062;Aparecida de Goiania;282647;72;Latin America & Caribbean;Upper middle income
BRA;Brazil;760034;Aracaju;455218;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760122;Araçatuba;167730;34;Latin America & Caribbean;Upper middle income
BRA;Brazil;760176;Araguaina;104765;33;Latin America & Caribbean;Upper middle income
BRA;Brazil;760138;Arapiraca;146968;12;Latin America & Caribbean;Upper middle income
BRA;Brazil;760117;Araraquara;170362;33;Latin America & Caribbean;Upper middle income
BRA;Brazil;760178;Bage;100671;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760114;Barra Mansa;172750;28;Latin America & Caribbean;Upper middle income
BRA;Brazil;760102;Barueri;188443;43;Latin America & Caribbean;Upper middle income
BRA;Brazil;760054;Bauru;305676;35;Latin America & Caribbean;Upper middle income
BRA;Brazil;760014;Belém;905457;21;Latin America & Caribbean;Upper middle income
BRA;Brazil;760040;Belford Roxo;424521;45;Latin America & Caribbean;Upper middle income
BRA;Brazil;760004;Belo Horizonte;2211344;36;Latin America & Caribbean;Upper middle income
BRA;Brazil;760071;Betim;251408;39;Latin America & Caribbean;Upper middle income
BRA;Brazil;760089;Blumenau;211412;28;Latin America & Caribbean;Upper middle income
BRA;Brazil;760126;Boa Vista;159937;14;Latin America & Caribbean;Upper middle income
BRA;Brazil;760175;Bragança Paulista;104906;26;Latin America & Caribbean;Upper middle income
BRA;Brazil;760006;BRASILIA;1799048;71;Latin America & Caribbean;Upper middle income
BRA;Brazil;760148;Cabo;132947;13;Latin America & Caribbean;Upper middle income
BRA;Brazil;760146;Cachoeiro de Itapemirim;135494;31;Latin America & Caribbean;Upper middle income
BRA;Brazil;760145;Camacari;137074;13;Latin America & Caribbean;Upper middle income
BRA;Brazil;760160;Camaragibe;118132;11;Latin America & Caribbean;Upper middle income
BRA;Brazil;760047;Campina Grande;346591;13;Latin America & Caribbean;Upper middle income
BRA;Brazil;760013;Campinas;927726;36;Latin America & Caribbean;Upper middle income
BRA;Brazil;760025;Campo Grande;629370;27;Latin America & Caribbean;Upper middle income
BRA;Brazil;760045;Campos dos Goytacazes;354658;32;Latin America & Caribbean;Upper middle income
BRA;Brazil;760055;Canoas;301986;17;Latin America & Caribbean;Upper middle income
BRA;Brazil;760046;Carapicuíba;348575;46;Latin America & Caribbean;Upper middle income
BRA;Brazil;760053;Cariacica;308612;26;Latin America & Caribbean;Upper middle income
BRA;Brazil;760088;Caruaru;211781;19;Latin America & Caribbean;Upper middle income
BRA;Brazil;760085;Cascavel;218355;39;Latin America & Caribbean;Upper middle income
BRA;Brazil;760167;Castanhal;113397;18;Latin America & Caribbean;Upper middle income
BRA;Brazil;760095;Caucaia;200651;11;Latin America & Caribbean;Upper middle income
BRA;Brazil;760180;Caxias;96072;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760051;Caxias do Sul;312262;17;Latin America & Caribbean;Upper middle income
BRA;Brazil;760155;Chapecó;121182;16;Latin America & Caribbean;Upper middle income
BRA;Brazil;760131;Colombo;155202;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760030;Contagem;482529;47;Latin America & Caribbean;Upper middle income
BRA;Brazil;760147;Cotia;134968;47;Latin America & Caribbean;Upper middle income
BRA;Brazil;760132;Criciúma;152268;17;Latin America & Caribbean;Upper middle income
BRA;Brazil;760036;Cuiabá;453846;40;Latin America & Caribbean;Upper middle income
BRA;Brazil;760007;Curitiba;1569422;27;Latin America & Caribbean;Upper middle income
BRA;Brazil;760048;Diadema;343508;45;Latin America & Caribbean;Upper middle income
BRA;Brazil;760111;Divinópolis;174988;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760136;Dourados;148511;16;Latin America & Caribbean;Upper middle income
BRA;Brazil;760018;Duque de Caxias;755473;43;Latin America & Caribbean;Upper middle income
BRA;Brazil;760091;Embu;207974;41;Latin America & Caribbean;Upper middle income
BRA;Brazil;760041;Feira de Santana;418805;12;Latin America & Caribbean;Upper middle income
BRA;Brazil;760151;Ferraz de Vasconcelos;128083;31;Latin America & Caribbean;Upper middle income
BRA;Brazil;760067;Florianópolis;266476;21;Latin America & Caribbean;Upper middle income
BRA;Brazil;760005;Fortaleza;2089560;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760077;Foz do Iguaçu;242736;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760064;Franca;277820;32;Latin America & Caribbean;Upper middle income
BRA;Brazil;760177;Garanhuns;102530;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760011;Goiânia;1060454;70;Latin America & Caribbean;Upper middle income
BRA;Brazil;760079;Governador Valadares;234776;64;Latin America & Caribbean;Upper middle income
BRA;Brazil;760093;Gravatai;202126;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760142;Guarapuava;141242;26;Latin America & Caribbean;Upper middle income
BRA;Brazil;760078;Guarujá;240643;24;Latin America & Caribbean;Upper middle income
BRA;Brazil;760012;Guarulhos;1013369;32;Latin America & Caribbean;Upper middle income
BRA;Brazil;760104;Ilhéus;183522;11;Latin America & Caribbean;Upper middle income
BRA;Brazil;760080;Imperatriz;228801;40;Latin America & Caribbean;Upper middle income
BRA;Brazil;760152;Indaiatuba;126878;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760092;Ipatinga;206638;26;Latin America & Caribbean;Upper middle income
BRA;Brazil;760108;Itaboraí;180594;19;Latin America & Caribbean;Upper middle income
BRA;Brazil;760101;Itabuna;189174;12;Latin America & Caribbean;Upper middle income
BRA;Brazil;760162;Itaguaí;115539;34;Latin America & Caribbean;Upper middle income
BRA;Brazil;760144;Itajaí;137398;31;Latin America & Caribbean;Upper middle income
BRA;Brazil;760173;Itapetininga;106190;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760076;Itaquaquecetuba;242755;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760159;Itu;119075;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760028;Jaboatao;486548;17;Latin America & Caribbean;Upper middle income
BRA;Brazil;760120;Jacareí;168163;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760140;Jequié;143424;12;Latin America & Caribbean;Upper middle income
BRA;Brazil;760026;Joao Pessoa;584034;20;Latin America & Caribbean;Upper middle income
BRA;Brazil;760042;Joinville;396212;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760141;Juazeiro;141518;17;Latin America & Caribbean;Upper middle income
BRA;Brazil;760098;Juazeiro do Norte;191511;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760037;Juiz de Fora;445684;23;Latin America & Caribbean;Upper middle income
BRA;Brazil;760059;Jundiaí;294000;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760137;Lages;147421;23;Latin America & Caribbean;Upper middle income
BRA;Brazil;760090;Limeira;208983;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760179;Linhares;97732;41;Latin America & Caribbean;Upper middle income
BRA;Brazil;760039;Londrina;425555;23;Latin America & Caribbean;Upper middle income
BRA;Brazil;760072;Luziania;247563;33;Latin America & Caribbean;Upper middle income
BRA;Brazil;760161;Macae;116978;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760084;Macapá;222895;16;Latin America & Caribbean;Upper middle income
BRA;Brazil;760019;Maceió;709975;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760105;Magé;182239;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760010;Manaus;1222783;13;Latin America & Caribbean;Upper middle income
BRA;Brazil;760149;Marabá;131165;18;Latin America & Caribbean;Upper middle income
BRA;Brazil;760119;Maracanau;169559;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760107;Marília;181522;35;Latin America & Caribbean;Upper middle income
BRA;Brazil;760065;Maringá;277424;23;Latin America & Caribbean;Upper middle income
BRA;Brazil;760044;Mauá;364551;27;Latin America & Caribbean;Upper middle income
BRA;Brazil;760057;Moji das Cruzes;297613;19;Latin America & Caribbean;Upper middle income
BRA;Brazil;760168;Moji-Guaçu;111614;29;Latin America & Caribbean;Upper middle income
BRA;Brazil;760066;Montes Claros;269054;34;Latin America & Caribbean;Upper middle income
BRA;Brazil;760094;Mossoró;202039;16;Latin America & Caribbean;Upper middle income
BRA;Brazil;760020;Natal;697441;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760123;Nilópolis;165071;43;Latin America & Caribbean;Upper middle income
BRA;Brazil;760031;Niterói;478787;37;Latin America & Caribbean;Upper middle income
BRA;Brazil;760130;Nova Friburgo;156042;24;Latin America & Caribbean;Upper middle income
BRA;Brazil;760016;Nova Iguaçu;874998;41;Latin America & Caribbean;Upper middle income
BRA;Brazil;760082;Novo Hamburgo;224717;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760043;Olinda;371430;19;Latin America & Caribbean;Upper middle income
BRA;Brazil;760023;Osasco;662225;54;Latin America & Caribbean;Upper middle income
BRA;Brazil;760164;Paranagua;114850;32;Latin America & Caribbean;Upper middle income
BRA;Brazil;760158;Parnaíba;119691;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760128;Passo Fundo;159685;14;Latin America & Caribbean;Upper middle income
BRA;Brazil;760174;Patos de Minas;105688;34;Latin America & Caribbean;Upper middle income
BRA;Brazil;760074;Paulista;244000;15;Latin America & Caribbean;Upper middle income
BRA;Brazil;760056;Pelotas;300555;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760133;Petrolina;151421;18;Latin America & Caribbean;Upper middle income
BRA;Brazil;760063;Petrópolis;279991;23;Latin America & Caribbean;Upper middle income
BRA;Brazil;760165;Pindamonhangaba;113643;25;Latin America & Caribbean;Upper middle income
BRA;Brazil;760052;Piracicaba;309296;30;Latin America & Caribbean;Upper middle income
BRA;Brazil;760166;Piraquara;113627;21;Latin America & Caribbean;Upper middle income
BRA;Brazil;760153;Pocos de Caldas;124484;29;Latin America & Caribbean;Upper middle income
BRA;Brazil;760069;Ponta Grossa;259716;28;Latin America & Caribbean;Upper middle income
BRA;Brazil;760009;Pórto Alegre;1334262;26;Latin America & Caribbean;Upper middle income
BRA;Brazil;760070;Pórto Velho;253354;22;Latin America & Caribbean;Upper middle income
BRA;Brazil;760127;Praia Grande;159879;23;Latin America & Caribbean;Upper middle income
